TAREAS          ,ESTADO
leer            ,y
leer_cadena     ,
escribir        ,y
si              ,y
entonces        ,
si_no           ,y
fin_si          ,y
mientras        ,y
hacer           ,keyword_added
fin_mientras    ,y
repetir         ,keyword_added
hasta           ,keyword_added
para            ,keyword_added
fin_para        ,keyword_added
desde           ,keyword_added
paso            ,keyword_added
casos           ,keyword_added
valor           ,keyword_added
defecto         ,keyword_added
fin_casos       ,keyword_added
borrar_pantalla ,keyword_added
lugar           ,keyword_added
verdadero       ,y
falso           ,y
#o              ,y
#y              ,y
#no             ,y
identificador   ,y
numero          ,y
cadena          ,
asignacion      ,y
suma            ,y
resta           ,y
producto        ,y
division        ,y
division_entera ,falla(detecta el tipo pero no se realiza la operacion correcta)
modulo          ,y
potencia        ,y
concatenacion   ,
menor que       ,y
mayor que       ,y
menor igual que ,y
mayor igual que ,y
igual que       ,y
distinto que    ,y
disyuncion logica ,y
conjuncion logica ,y
negacion logica ,y
comentario una linea ,
comentario multi linea ,
punto y coma     ,y
asignacion expresion numerica ,y
asignacion expresion alfanumerica ,
asignacion expresion logica ,
sentencia control si ,
sentencia control mientras ,
sentencia control repetir ,
sentencia control para ,
sentencia control casos ,
